name,,slug,value,date_of_information,ranking,region
Comoros,174,comoros,66.9,,188,Africa
Sudan,729,sudan,66.79,,189,Africa
Sao Tome and Principe,#N/A,sao-tome-and-principe,66.72,,190,Africa
Eritrea,#N/A,eritrea,66.51,,191,Africa
Equatorial Guinea,#N/A,equatorial-guinea,66.35,,192,Africa
Cambodia,116,cambodia,66.27,,193,East Asia/Southeast Asia
"Gambia, The",270,gambia-the,66.15,,194,Africa
Laos,#N/A,laos,66,,195,East Asia/Southeast Asia
Zambia,894,zambia,65.92,,196,Africa
Namibia,516,namibia,65.87,,197,Africa
Haiti,332,haiti,65.61,,198,Central America
Rwanda,646,rwanda,65.48,,199,Africa
Botswana,72,botswana,65.24,,200,Africa
Liberia,430,liberia,65.1,,201,Africa
South Africa,710,south-africa,65.04,,202,Africa
Djibouti,#N/A,djibouti,65,,203,Africa
Mauritania,478,mauritania,64.86,,204,Africa
Senegal,686,senegal,63.83,,205,Africa
Guinea,324,guinea,63.53,,206,Africa
Guinea-Bissau,#N/A,guinea-bissau,63.26,,207,Africa
Burkina Faso,854,burkina-faso,63.06,,208,Africa
Zimbabwe,716,zimbabwe,62.83,,209,Africa
Cameroon,120,cameroon,62.79,,210,Africa
Mali,466,mali,62.01,,211,Africa
Benin,204,benin,61.82,,212,Africa
Cote d'Ivoire,384,cote-divoire,61.8,,213,Africa
Angola,24,angola,61.71,,214,Africa
"Congo, Republic of the",180,congo-republic-of-the,61.69,,215,Africa
"Congo, Democratic Republic of the",178,congo-democratic-republic-of-the,61.43,,216,Africa
Nigeria,566,nigeria,60.87,,217,Africa
Sierra Leone,694,sierra-leone,60.19,,218,Africa
Niger,562,niger,59.7,,219,Africa
Eswatini,#N/A,eswatini,59.13,,220,Africa
Lesotho,426,lesotho,58.9,,221,Africa
Chad,148,chad,58.73,,222,Africa
South Sudan,728,south-sudan,58.6,,223,Africa
Mozambique,508,mozambique,56.49,,224,Africa
Somalia,706,somalia,55.32,,225,Africa
Central African Republic,140,central-african-republic,55.07,,226,Africa
Afghanistan,4,afghanistan,53.25,,227,South Asia
