name,,slug,value,date_of_information,ranking,region
Honduras,340,honduras,"$50,890,000,000",2020 est.,112,Central America
Syria,760,syria,"$50,280,000,000",2015 est.,113,Middle East
Estonia,233,estonia,"$47,440,000,000",2020 est.,114,Europe
Bosnia and Herzegovina,70,bosnia-and-herzegovina,"$47,050,000,000",2020 est.,115,Europe
Burkina Faso,854,burkina-faso,"$45,160,000,000",2020 est.,116,Africa
Mali,466,mali,"$44,890,000,000",2020 est.,117,Africa
Madagascar,450,madagascar,"$41,820,000,000",2020 est.,118,Africa
Zimbabwe,716,zimbabwe,"$40,790,000,000",2020 est.,119,Africa
Benin,204,benin,"$40,290,000,000",2020 est.,120,Africa
"Korea, North",#N/A,korea-north,"$40,000,000,000",2015 est.,121,East Asia/Southeast Asia
Mozambique,508,mozambique,"$38,420,000,000",2020 est.,122,Africa
Albania,8,albania,"$37,730,000,000",2020 est.,123,Europe
Botswana,72,botswana,"$37,720,000,000",2020 est.,124,Africa
Mongolia,496,mongolia,"$37,600,000,000",2020 est.,125,East Asia/Southeast Asia
Armenia,51,armenia,"$37,310,000,000",2020 est.,126,Middle East
Papua New Guinea,#N/A,papua-new-guinea,"$36,690,000,000",2020 est.,127,East Asia/Southeast Asia
Macau,#N/A,macau,"$35,580,000,000",2020 est.,128,East Asia/Southeast Asia
Guinea,324,guinea,"$35,080,000,000",2020 est.,129,Africa
Nicaragua,558,nicaragua,"$34,980,000,000",2020 est.,130,Central America
Tajikistan,762,tajikistan,"$34,880,000,000",2020 est.,131,Central Asia
Cyprus,196,cyprus,"$33,670,000,000",2020 est.,132,Europe
Trinidad and Tobago,11,trinidad-and-tobago,"$33,210,000,000",2020 est.,133,Central America
Macedonia,807,north-macedonia,"$33,020,000,000",2020 est.,134,Europe
Moldova,498,moldova,"$32,260,000,000",2020 est.,135,Europe
Gabon,266,gabon,"$32,050,000,000",2020 est.,136,Africa
Haiti,332,haiti,"$31,620,000,000",2020 est.,137,Central America
Kyrgyzstan,417,kyrgyzstan,"$31,020,000,000",2020 est.,138,Central Asia
Niger,562,niger,"$28,970,000,000",2020 est.,139,Africa
Malawi,454,malawi,"$28,440,000,000",2020 est.,140,Africa
Brunei,#N/A,brunei,"$27,230,000,000",2020 est.,141,East Asia/Southeast Asia
Rwanda,646,rwanda,"$27,180,000,000",2020 est.,142,Africa
West Bank,#N/A,west-bank,"$25,910,000,000",2020 est.,143,Middle East
Jamaica,388,jamaica,"$25,890,000,000",2020 est.,144,Central America
Chad,148,chad,"$24,970,000,000",2020 est.,145,Africa
Mauritius,480,mauritius,"$24,640,000,000",2020 est.,146,Africa
Equatorial Guinea,#N/A,equatorial-guinea,"$23,860,000,000",2020 est.,147,Africa
Mauritania,478,mauritania,"$23,170,000,000",2020 est.,148,Africa
Namibia,516,namibia,"$22,600,000,000",2020 est.,149,Africa
Malta,470,malta,"$20,600,000,000",2020 est.,150,Europe
South Sudan,728,south-sudan,"$20,010,000,000",2017 est.,151,Africa
Iceland,352,iceland,"$19,160,000,000",2020 est.,152,Europe
Kosovo,383,kosovo,"$19,130,000,000",2020 est.,153,Europe
"Congo, Republic of the",178,congo-republic-of-the,"$19,030,000,000",2020 est.,154,Africa
Togo,768,togo,"$17,450,000,000",2020 est.,155,Africa
Guyana,#N/A,guyana,"$14,690,000,000",2020 est.,156,South America
Somalia,706,somalia,"$13,190,000,000",2020 est.,157,Africa
Sierra Leone,694,sierra-leone,"$13,150,000,000",2020 est.,158,Africa
"Bahamas, The",#N/A,bahamas-the,"$12,100,000,000",2020 est.,159,Central America
Montenegro,499,montenegro,"$11,360,000,000",2020 est.,160,Europe
New Caledonia,#N/A,new-caledonia,"$11,110,000,000",2017 est.,161,Australia - Oceania
Fiji,#N/A,fiji,"$9,860,000,000",2020 est.,162,Australia - Oceania
Eswatini,#N/A,eswatini,"$9,740,000,000",2020 est.,163,Africa
Eritrea,#N/A,eritrea,"$9,702,000,000",2017 est.,164,Africa
Suriname,#N/A,suriname,"$9,460,000,000",2020 est.,165,South America
Burundi,108,burundi,"$8,690,000,000",2020 est.,166,Africa
Bhutan,64,bhutan,"$8,420,000,000",2020 est.,167,South Asia
Monaco,#N/A,monaco,"$7,672,000,000",2015 est.,168,Europe
Maldives,#N/A,maldives,"$7,050,000,000",2020 est.,169,South Asia
Liberia,430,liberia,"$6,850,000,000",2020 est.,170,Africa
Isle of Man,#N/A,isle-of-man,"$6,792,000,000",2015 est.,171,Europe
Guam,#N/A,guam,"$5,793,000,000",2016 est.,172,Australia - Oceania
Jersey,#N/A,jersey,"$5,569,000,000",2016 est.,173,Europe
French Polynesia,#N/A,french-polynesia,"$5,490,000,000",2017 est.,174,Australia - Oceania
Djibouti,#N/A,djibouti,"$5,420,000,000",2020 est.,175,Africa
Bermuda,#N/A,bermuda,"$5,230,000,000",2019 est.,176,North America
"Gambia, The",270,gambia-the,"$5,220,000,000",2020 est.,177,Africa
Liechtenstein,#N/A,liechtenstein,"$4,978,000,000",2014 est.,178,Europe
Lesotho,426,lesotho,"$4,880,000,000",2020 est.,179,Africa
Cayman Islands,#N/A,cayman-islands,"$4,780,000,000",2019 est.,180,Central America
Central African Republic,140,central-african-republic,"$4,483,000,000",2019 est.,181,Africa
Timor-Leste,#N/A,timor-leste,"$4,190,000,000",2020 est.,182,East Asia/Southeast Asia
Aruba,#N/A,aruba,"$4,158,000,000",2017 est.,183,Central America
Virgin Islands,#N/A,virgin-islands,"$3,872,000,000",2016 est.,184,Central America
Curacao,#N/A,curacao,"$3,860,000,000",2019 est.,185,Central America
Barbados,#N/A,barbados,"$3,700,000,000",2020 est.,186,Central America
Guinea-Bissau,#N/A,guinea-bissau,"$3,640,000,000",2020 est.,187,Africa
Guernsey,#N/A,guernsey,"$3,465,000,000",2015 est.,188,Europe
Cabo Verde,#N/A,cabo-verde,"$3,360,000,000",2020 est.,189,Africa
Andorra,#N/A,andorra,"$3,327,000,000",2015 est.,190,Europe
Comoros,174,comoros,"$2,730,000,000",2020 est.,191,Africa
Belize,84,belize,"$2,430,000,000",2020 est.,192,Central America
Greenland,#N/A,greenland,"$2,413,000,000",2015 est.,193,North America
Seychelles,#N/A,seychelles,"$2,400,000,000",2020 est.,194,Africa
Saint Lucia,#N/A,saint-lucia,"$2,250,000,000",2020 est.,195,Central America
San Marino,#N/A,san-marino,"$2,060,000,000",2019 est.,196,Europe
Gibraltar,#N/A,gibraltar,"$2,044,000,000",2014 est.,197,Europe
Faroe Islands,#N/A,faroe-islands,"$2,001,000,000",2014 est.,198,Europe
Antigua and Barbuda,#N/A,antigua-and-barbuda,"$1,760,000,000",2020 est.,199,Central America
Solomon Islands,#N/A,solomon-islands,"$1,710,000,000",2020 est.,200,Australia - Oceania
Grenada,#N/A,grenada,"$1,700,000,000",2020 est.,201,Central America
Sint Maarten,#N/A,sint-maarten,"$1,440,000,000",2018 est.,202,Central America
Saint Vincent and the Grenadines,#N/A,saint-vincent-and-the-grenadines,"$1,340,000,000",2020 est.,203,Central America
Samoa,#N/A,samoa,"$1,250,000,000",2020 est.,204,Australia - Oceania
Northern Mariana Islands,#N/A,northern-mariana-islands,"$1,242,000,000",2016 est.,205,Australia - Oceania
Saint Kitts and Nevis,#N/A,saint-kitts-and-nevis,"$1,240,000,000",2020 est.,206,Central America
Sao Tome and Principe,#N/A,sao-tome-and-principe,"$890,000,000",2020 est.,207,Africa
Vanuatu,#N/A,vanuatu,"$850,000,000",2020 est.,208,Australia - Oceania
Turks and Caicos Islands,#N/A,turks-and-caicos-islands,"$820,000,000",2020 est.,209,Central America
Dominica,#N/A,dominica,"$710,000,000",2020 est.,210,Central America
Tonga,#N/A,tonga,"$670,000,000",2019 est.,211,Australia - Oceania
American Samoa,#N/A,american-samoa,"$658,000,000",2016 est.,212,Australia - Oceania
Saint Martin,#N/A,saint-martin,"$561,500,000",2005 est.,213,Central America
British Virgin Islands,#N/A,british-virgin-islands,"$500,000,000",2017 est.,214,Central America
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,"$390,000,000",2019 est.,215,Australia - Oceania
Palau,#N/A,palau,"$320,000,000",2019 est.,216,Australia - Oceania
Cook Islands,#N/A,cook-islands,"$299,900,000",2016 est.,217,Australia - Oceania
Kiribati,#N/A,kiribati,"$270,000,000",2020 est.,218,Australia - Oceania
Saint Pierre and Miquelon,#N/A,saint-pierre-and-miquelon,"$261,300,000",2015 est.,219,North America
Marshall Islands,#N/A,marshall-islands,"$240,000,000",2019 est.,220,Australia - Oceania
Falkland Islands (Islas Malvinas),#N/A,falkland-islands-islas-malvinas,"$206,400,000",2015 est.,221,South America
Anguilla,#N/A,anguilla,"$175,400,000",2009 est.,222,Central America
Nauru,#N/A,nauru,"$150,000,000",2019 est.,223,Australia - Oceania
Wallis and Futuna,#N/A,wallis-and-futuna,"$60,000,000",2004 est.,224,Australia - Oceania
Tuvalu,#N/A,tuvalu,"$50,000,000",2020 est.,225,Australia - Oceania
"Saint Helena, Ascension, and Tristan da Cunha",#N/A,saint-helena-ascension-and-tristan-da-cunha,"$31,100,000",2009 est.,226,Africa
Niue,#N/A,niue,"$10,010,000",2003 est.,227,Australia - Oceania
Tokelau,#N/A,tokelau,"$7,711,583",2017 est.,228,Australia - Oceania
