name,,slug,value,date_of_information,ranking,region
Iceland,352,iceland,37.1,,74,Europe
Saint Lucia,#N/A,saint-lucia,36.9,,75,Central America
Seychelles,#N/A,seychelles,36.8,,76,Africa
Curacao,#N/A,curacao,36.7,,77,Central America
Armenia,51,armenia,36.6,,78,Middle East
Saint Kitts and Nevis,#N/A,saint-kitts-and-nevis,36.5,,79,Central America
Mauritius,480,mauritius,36.3,,80,Africa
Anguilla,#N/A,anguilla,35.7,,81,Central America
Singapore,702,singapore,35.6,,82,East Asia/Southeast Asia
Chile,152,chile,35.5,,83,South America
Gibraltar,#N/A,gibraltar,35.5,,84,Europe
Uruguay,858,uruguay,35.5,,85,South America
Saint Vincent and the Grenadines,#N/A,saint-vincent-and-the-grenadines,35.3,,86,Central America
Dominica,#N/A,dominica,34.9,,87,Central America
Montserrat,#N/A,montserrat,34.8,,88,Central America
"Korea, North",#N/A,korea-north,34.6,,89,East Asia/Southeast Asia
Turks and Caicos Islands,#N/A,turks-and-caicos-islands,34.6,,90,Central America
Albania,8,albania,34.3,,91,Europe
Greenland,#N/A,greenland,34.3,,92,North America
Wallis and Futuna,#N/A,wallis-and-futuna,34,,93,Australia - Oceania
Palau,#N/A,palau,33.9,,94,Australia - Oceania
Lebanon,422,lebanon,33.7,,95,Middle East
Qatar,634,qatar,33.7,,96,Middle East
Sri Lanka,144,sri-lanka,33.7,,97,South Asia
French Polynesia,#N/A,french-polynesia,33.3,,98,Australia - Oceania
Grenada,#N/A,grenada,33.3,,99,Central America
Saint Martin,#N/A,saint-martin,33.3,,100,Central America
Brazil,76,brazil,33.2,,101,South America
Bahrain,48,bahrain,32.9,,102,Middle East
New Caledonia,#N/A,new-caledonia,32.9,,103,Australia - Oceania
"Bahamas, The",#N/A,bahamas-the,32.8,,104,Central America
Northern Mariana Islands,#N/A,northern-mariana-islands,32.8,,105,Australia - Oceania
Antigua and Barbuda,#N/A,antigua-and-barbuda,32.7,,106,Central America
Tunisia,788,tunisia,32.7,,107,Africa
Azerbaijan,31,azerbaijan,32.6,,108,Middle East
Costa Rica,188,costa-rica,32.6,,109,Central America
Argentina,32,argentina,32.4,,110,South America
Turkey,792,turkey,32.2,,111,Middle East
Vietnam,704,vietnam,31.9,,112,East Asia/Southeast Asia
Iran,364,iran,31.7,,113,Middle East
Kazakhstan,398,kazakhstan,31.6,,114,Central Asia
Colombia,170,colombia,31.2,,115,South America
Brunei,#N/A,brunei,31.1,,116,East Asia/Southeast Asia
Indonesia,360,indonesia,31.1,,117,East Asia/Southeast Asia
Suriname,#N/A,suriname,31,,118,South America
Saudi Arabia,682,saudi-arabia,30.8,,119,Middle East
Kosovo,383,kosovo,30.5,,120,Europe
Israel,376,israel,30.4,,121,Middle East
Panama,591,panama,30.1,,122,Central America
Uzbekistan,860,uzbekistan,30.1,,123,Central Asia
Venezuela,862,venezuela,30,,124,South America
Fiji,#N/A,fiji,29.9,,125,Australia - Oceania
Mongolia,496,mongolia,29.8,,126,East Asia/Southeast Asia
Kuwait,414,kuwait,29.7,,127,Middle East
Paraguay,600,paraguay,29.7,,128,South America
Maldives,#N/A,maldives,29.5,,129,South Asia
Guam,#N/A,guam,29.4,,130,Australia - Oceania
Jamaica,388,jamaica,29.4,,131,Central America
Mexico,484,mexico,29.3,,132,North America
Burma,#N/A,burma,29.2,,133,East Asia/Southeast Asia
Malaysia,458,malaysia,29.2,,134,East Asia/Southeast Asia
Turkmenistan,795,turkmenistan,29.2,,135,Central Asia
Bhutan,64,bhutan,29.1,,136,South Asia
Morocco,504,morocco,29.1,,137,Africa
Peru,604,peru,29.1,,138,South America
Algeria,12,algeria,28.9,,139,Africa
Ecuador,218,ecuador,28.8,,140,South America
India,356,india,28.7,,141,South Asia
South Africa,710,south-africa,28,,142,Africa
Bangladesh,50,bangladesh,27.9,,143,South Asia
Dominican Republic,214,dominican-republic,27.9,,144,Central America
El Salvador,222,el-salvador,27.7,,145,Central America
Guyana,#N/A,guyana,27.5,,146,South America
Kyrgyzstan,417,kyrgyzstan,27.3,,147,Central Asia
Nicaragua,558,nicaragua,27.3,,148,Central America
American Samoa,#N/A,american-samoa,27.2,,149,Australia - Oceania
Nauru,#N/A,nauru,27,,150,Australia - Oceania
Cabo Verde,#N/A,cabo-verde,26.8,,151,Africa
Tuvalu,#N/A,tuvalu,26.6,,152,Australia - Oceania
Cambodia,116,cambodia,26.4,,153,East Asia/Southeast Asia
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,26.3,,154,Australia - Oceania
Oman,#N/A,oman,26.2,,155,Middle East
Libya,434,libya,25.8,,156,Africa
Botswana,72,botswana,25.7,,157,Africa
Kiribati,#N/A,kiribati,25.7,,158,Australia - Oceania
Samoa,#N/A,samoa,25.6,,159,Australia - Oceania
Bolivia,68,bolivia,25.3,,160,South America
Nepal,524,nepal,25.3,,161,South Asia
Tajikistan,762,tajikistan,25.3,,162,Central Asia
Djibouti,#N/A,djibouti,24.9,,163,Africa
Lesotho,426,lesotho,24.7,,164,Africa
Honduras,340,honduras,24.4,,165,Central America
Egypt,818,egypt,24.1,,166,Africa
Haiti,332,haiti,24.1,,167,Central America
Philippines,608,philippines,24.1,,168,East Asia/Southeast Asia
Tonga,#N/A,tonga,24.1,,169,Australia - Oceania
Laos,#N/A,laos,24,,170,East Asia/Southeast Asia
Papua New Guinea,#N/A,papua-new-guinea,24,,171,East Asia/Southeast Asia
Belize,84,belize,23.9,,172,Central America
Marshall Islands,#N/A,marshall-islands,23.8,,173,Australia - Oceania
Eswatini,#N/A,eswatini,23.7,,174,Africa
Jordan,400,jordan,23.5,,175,Middle East
Solomon Islands,#N/A,solomon-islands,23.5,,176,Australia - Oceania
Syria,760,syria,23.5,,177,Middle East
Guatemala,320,guatemala,23.2,,178,Central America
Vanuatu,#N/A,vanuatu,23,,179,Australia - Oceania
Pakistan,586,pakistan,22,,180,South Asia
West Bank,#N/A,west-bank,21.9,,181,Middle East
"Gambia, The",270,gambia-the,21.8,,182,Africa
Namibia,516,namibia,21.8,,183,Africa
Ghana,288,ghana,21.4,,184,Africa
Iraq,368,iraq,21.2,,185,Middle East
Gabon,266,gabon,21,,186,Africa
Mauritania,478,mauritania,21,,187,Africa
Comoros,174,comoros,20.9,,188,Africa
Zimbabwe,716,zimbabwe,20.5,,189,Africa
Cote d'Ivoire,384,cote-divoire,20.3,,190,Africa
Equatorial Guinea,#N/A,equatorial-guinea,20.3,,191,Africa
Eritrea,#N/A,eritrea,20.3,,192,Africa
Madagascar,450,madagascar,20.3,,193,Africa
Central African Republic,140,central-african-republic,20,,194,Africa
Kenya,404,kenya,20,,195,Africa
Togo,768,togo,20,,196,Africa
Ethiopia,231,ethiopia,19.8,,197,Africa
Yemen,887,yemen,19.8,2018 est.,198,Middle East
Rwanda,646,rwanda,19.7,,199,Africa
Timor-Leste,#N/A,timor-leste,19.6,,200,East Asia/Southeast Asia
Afghanistan,4,afghanistan,19.5,,201,South Asia
"Congo, Republic of the",178,congo-republic-of-the,19.5,,202,Africa
Senegal,686,senegal,19.4,,203,Africa
Sao Tome and Principe,#N/A,sao-tome-and-principe,19.3,,204,Africa
Guinea,324,guinea,19.1,,205,Africa
Sierra Leone,694,sierra-leone,19.1,,206,Africa
Nigeria,566,nigeria,18.6,,207,Africa
South Sudan,728,south-sudan,18.6,,208,Africa
Cameroon,120,cameroon,18.5,,209,Africa
Somalia,706,somalia,18.5,,210,Africa
Sudan,729,sudan,18.3,,211,Africa
Tanzania,834,tanzania,18.2,,212,Africa
Gaza Strip,#N/A,gaza-strip,18,,213,Middle East
Guinea-Bissau,#N/A,guinea-bissau,18,,214,Africa
Liberia,430,liberia,18,,215,Africa
Burkina Faso,854,burkina-faso,17.9,,216,Africa
Burundi,108,burundi,17.7,,217,Africa
Benin,204,benin,17,,218,Africa
Mozambique,508,mozambique,17,,219,Africa
Zambia,894,zambia,16.9,,220,Africa
Malawi,454,malawi,16.8,,221,Africa
"Congo, Democratic Republic of the",180,congo-democratic-republic-of-the,16.7,,222,Africa
Chad,148,chad,16.1,,223,Africa
Mali,466,mali,16,,224,Africa
Angola,24,angola,15.9,,225,Africa
Uganda,800,uganda,15.7,,226,Africa
Niger,562,niger,14.8,,227,Africa
